method,mAP@5,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10,name,w_global,w_crop,w_text,phash_config,candidate_k
StrongFusion_global_crop_text_light_crop_phash_strong,0.7737925709651257,0.7975766423357664,0.416198321873167,0.5575182481751825,0.6465454760874901,0.4411270072992701,0.7385742890849026,0.2974598540145985,0.8347356347905416,global_crop_text_light_crop,0.55,0.15,0.3,strong,100
StrongFusion_global_crop_text_text_heavy_phash_strong,0.7691474695863747,0.79407299270073,0.4135824749092531,0.5551046228710462,0.6444971134436998,0.43964963503649634,0.7390881550156086,0.29765547445255475,0.840141061354659,global_crop_text_text_heavy,0.35,0.25,0.4,strong,100
StrongFusion_global_text_phash_old_strong_phash_strong,0.7663958231954582,0.7937810218978102,0.4141136570583312,0.5521946472019464,0.6375849541070702,0.4364321167883212,0.7276425078953124,0.2934686131386861,0.8209762431872577,global_text_phash_old_strong,0.76,0.0,0.24,strong,100
StrongFusion_global_crop_text_global_heavy_phash_strong,0.7600010218978102,0.7868029197080292,0.40853489685250277,0.5491581508515815,0.6332687890911789,0.43489051094890513,0.7247691467307545,0.29308321167883206,0.8202558568602846,global_crop_text_global_heavy,0.5,0.25,0.25,strong,100
StrongFusion_global_crop_text_balanced_phash_strong,0.7473710462287104,0.7775182481751824,0.4015169928550808,0.5422189781021898,0.6226667271289449,0.4297343065693431,0.7142440385528053,0.2897664233576642,0.8097544238312699,global_crop_text_balanced,0.4,0.35,0.25,strong,100
StrongFusion_global_crop_text_crop_heavy_phash_strong,0.7283050608272507,0.7641751824817519,0.3913581139948591,0.5320194647201947,0.6072716533506882,0.4208817518248175,0.6960241586239586,0.2841722627737226,0.7930273830067139,global_crop_text_crop_heavy,0.3,0.45,0.25,strong,100
