method,query_idx,label_group,AP@5,n_relevant,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10
StrongFusion_global_crop_text_light_crop_phash_strong,30970,1569494229,1.0,21,1.0,0.047619047619047616,1.0,0.14285714285714285,1.0,0.23809523809523808,0.9,0.42857142857142855
StrongFusion_global_crop_text_light_crop_phash_strong,30971,1019858566,1.0,8,1.0,0.125,1.0,0.375,1.0,0.625,0.8,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30972,1790173847,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30973,2082727238,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30974,2397699357,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30975,2833842908,0.3333333333333333,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30976,739447901,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30977,3814390525,1.0,8,1.0,0.125,1.0,0.375,1.0,0.625,0.8,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30978,2866022569,1.0,13,1.0,0.07692307692307693,1.0,0.23076923076923078,1.0,0.38461538461538464,1.0,0.7692307692307693
StrongFusion_global_crop_text_light_crop_phash_strong,30979,3387468121,0.6666666666666666,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30980,2591192196,1.0,8,1.0,0.125,1.0,0.375,1.0,0.625,0.7,0.875
StrongFusion_global_crop_text_light_crop_phash_strong,30981,38185708,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30982,3857362372,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30983,1166175991,1.0,7,1.0,0.14285714285714285,1.0,0.42857142857142855,1.0,0.7142857142857143,0.7,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30984,142105411,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30985,1231764906,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30986,3149716162,1.0,16,1.0,0.0625,1.0,0.1875,1.0,0.3125,1.0,0.625
StrongFusion_global_crop_text_light_crop_phash_strong,30987,336893387,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30988,2081524202,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30989,1703159951,0.375,4,1.0,0.25,0.3333333333333333,0.25,0.4,0.5,0.4,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30990,3040626578,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30991,790514772,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30992,1855260862,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30993,2245764417,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30994,1974786425,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30995,742462560,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30996,3373740639,0.75,4,1.0,0.25,1.0,0.75,0.6,0.75,0.3,0.75
StrongFusion_global_crop_text_light_crop_phash_strong,30997,2048069671,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30998,4122553815,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30999,962477933,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,31000,4091271172,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
